trade_id,strategy_name,symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl_R,pnl_usd,exit_reason,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type,original_regime_snapshot_id,original_oi_state,original_funding_state,original_orderflow_state,original_etf_flow_state,original_macro_state
T0198,BTP_ETH_30m,ETHUSDT,short,2025-10-13 02:30:00,2025-10-13 11:00:00,4156.5843,4144.2125,0.72,110.5328,TP2,Asia,range,range_W42_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
T0199,BAW_ETH_5m,ETHUSDT,short,2025-10-13 21:00:00,2025-10-13 22:00:00,4271.5728,4265.36,0.19,7.1584,TIME,Asia,range,range_W42_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
T0200,BTP_ETH_30m,ETHUSDT,short,2025-10-14 17:00:00,2025-10-14 17:30:00,4120.4479,4120.86,0.256,34.2807,BE,NY,range,range_W42_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
T0201,ATR_ETH_3m,ETHUSDT,long,2025-10-15 06:39:00,2025-10-15 07:42:00,4112.8812,4112.62,-0.111,-4.2264,CH_IN,Asia,range,range_W42_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
T0202,BTP_ETH_30m,ETHUSDT,short,2025-10-15 09:00:00,2025-10-15 11:00:00,4151.5948,4118.9206,0.544,82.2524,TP2,London,range,range_W42_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
T0203,ATR_ETH_3m,ETHUSDT,long,2025-10-16 14:39:00,2025-10-16 14:57:00,4042.8042,4013.83,-1.081,-57.5015,SL,overlap,trend_down,trend_down_20251016,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W42_2025,unknown,unknown,unknown,unknown,unknown
T0204,BTP_ETH_30m,ETHUSDT,short,2025-10-18 07:30:00,2025-10-18 10:00:00,3890.081,3862.73,0.514,48.3132,TP2,weekend,trend_down,trend_down_20251018,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W42_2025,unknown,unknown,unknown,unknown,unknown
T0205,BTP_ETH_30m,ETHUSDT,short,2025-10-18 18:00:00,2025-10-18 21:00:00,3887.0913,3875.2088,0.606,27.7062,TP2,weekend,trend_down,trend_down_20251018,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W42_2025,unknown,unknown,unknown,unknown,unknown
T0206,BTP_ETH_30m,ETHUSDT,short,2025-10-19 04:00:00,2025-10-19 06:30:00,3898.3001,3882.6344,0.791,36.1974,TP2,weekend,trend_down,trend_down_20251019,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W42_2025,unknown,unknown,unknown,unknown,unknown
T0207,BTP_BTC_1H,BTCUSDT,short,2025-10-19 12:00:00,2025-10-19 15:00:00,107594.5395,108525.3487,-1.058,-68.6331,SL,weekend,trend_down,trend_down_20251019,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W42_2025,unknown,unknown,unknown,unknown,unknown
T0208,BTP_ETH_30m,ETHUSDT,short,2025-10-19 23:00:00,2025-10-20 00:00:00,3991.8508,3990.9887,0.827,77.7414,TP2,weekend,range,range_W42_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
T0209,BAW_ETH_5m,ETHUSDT,short,2025-10-21 10:55:00,2025-10-21 11:55:00,3881.8918,3888.33,-0.738,-16.189,TIME,London,trend_down,trend_down_20251021,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W43_2025,unknown,unknown,unknown,unknown,unknown
